#      mass       lower
 1.8178e-01  3.0638e-04
 1.8243e-01  3.0327e-04
 1.8307e-01  2.9019e-04
 1.8371e-01  2.7767e-04
 1.8435e-01  2.7292e-04
 1.8500e-01  2.6751e-04
 1.8564e-01  2.6207e-04
 1.8628e-01  2.5521e-04
 1.8693e-01  2.4938e-04
 1.8758e-01  2.4533e-04
 1.8823e-01  2.4935e-04
 1.8887e-01  2.6805e-04
 1.8952e-01  2.9488e-04
 1.9017e-01  3.3787e-04
 1.9082e-01  3.5631e-04
 1.9147e-01  3.3988e-04
 1.9213e-01  3.0477e-04
 1.9278e-01  2.8525e-04
 1.9343e-01  2.8831e-04
 1.9409e-01  3.0533e-04
 1.9474e-01  3.2274e-04
 1.9540e-01  3.3519e-04
 1.9605e-01  3.4112e-04
 1.9671e-01  3.4079e-04
 1.9737e-01  3.4342e-04
 1.9803e-01  3.5616e-04
 1.9869e-01  3.7712e-04
 1.9935e-01  3.8505e-04
 2.0001e-01  3.9948e-04
 2.0067e-01  4.2541e-04
 2.0133e-01  4.5690e-04
 2.0199e-01  4.7384e-04
 2.0266e-01  4.6857e-04
 2.0332e-01  4.4841e-04
 2.0399e-01  4.2555e-04
 2.0465e-01  4.0575e-04
 2.0531e-01  4.0024e-04
 2.0598e-01  3.9989e-04
 2.0664e-01  3.9254e-04
 2.0731e-01  3.7435e-04
 2.0797e-01  3.5368e-04
 2.0864e-01  3.5186e-04
 2.0930e-01  3.6011e-04
 2.0997e-01  3.9481e-04
 2.1063e-01  4.2645e-04
 2.1130e-01  4.4372e-04
 2.1197e-01  4.1260e-04
 2.1263e-01  3.8656e-04
 2.1271e-01  2.3956e-04
 2.1274e-01  2.2111e-04
 2.1277e-01  2.0516e-04
 2.1280e-01  1.9910e-04
 2.1284e-01  1.9306e-04
 2.1287e-01  1.9199e-04
 2.1291e-01  1.9295e-04
 2.1295e-01  1.9949e-04
 2.1300e-01  2.0941e-04
 2.1305e-01  2.1870e-04
 2.1311e-01  2.2563e-04
 2.1316e-01  2.2676e-04
 2.1321e-01  2.2104e-04
 2.1327e-01  2.1366e-04
 2.1333e-01  2.0443e-04
 2.1339e-01  2.0029e-04
 2.1345e-01  2.0442e-04
 2.1351e-01  2.2318e-04
 2.1358e-01  2.5011e-04
 2.1365e-01  2.7805e-04
 2.1371e-01  2.9711e-04
 2.1378e-01  3.0989e-04
 2.1385e-01  3.1830e-04
 2.1391e-01  3.2049e-04
 2.1399e-01  3.1220e-04
 2.1406e-01  2.9450e-04
 2.1414e-01  2.7211e-04
 2.1421e-01  2.5460e-04
 2.1429e-01  2.4861e-04
 2.1437e-01  2.5101e-04
 2.1445e-01  2.5620e-04
 2.1453e-01  2.6077e-04
 2.1461e-01  2.6502e-04
 2.1469e-01  2.6435e-04
 2.1478e-01  2.6419e-04
 2.1486e-01  2.6082e-04
 2.1495e-01  2.5183e-04
 2.1503e-01  2.4039e-04
 2.1512e-01  2.2953e-04
 2.1521e-01  2.1850e-04
 2.1530e-01  2.0773e-04
 2.1539e-01  1.9816e-04
 2.1548e-01  1.9306e-04
 2.1557e-01  1.9046e-04
 2.1566e-01  1.8920e-04
 2.1576e-01  1.8173e-04
 2.1585e-01  1.7050e-04
 2.1595e-01  1.5894e-04
 2.1605e-01  1.5344e-04
 2.1614e-01  1.5479e-04
 2.1624e-01  1.6590e-04
 2.1634e-01  1.8220e-04
 2.1644e-01  1.8744e-04
 2.1654e-01  1.8939e-04
 2.1664e-01  1.8760e-04
 2.1675e-01  1.8441e-04
 2.1685e-01  1.8120e-04
 2.1695e-01  1.8237e-04
 2.1706e-01  1.7819e-04
 2.1717e-01  1.8378e-04
 2.1727e-01  1.9697e-04
 2.1738e-01  2.1903e-04
 2.1748e-01  2.3040e-04
 2.1759e-01  2.2956e-04
 2.1770e-01  2.1777e-04
 2.1781e-01  1.9862e-04
 2.1793e-01  1.8385e-04
 2.1804e-01  1.8241e-04
 2.1815e-01  1.9120e-04
 2.1826e-01  2.0765e-04
 2.1838e-01  2.2764e-04
 2.1850e-01  2.2737e-04
 2.1862e-01  2.4262e-04
 2.1873e-01  2.6928e-04
 2.1885e-01  2.7746e-04
 2.1897e-01  2.6940e-04
 2.1910e-01  2.5179e-04
 2.1922e-01  2.2720e-04
 2.1934e-01  1.9067e-04
 2.1947e-01  1.8264e-04
 2.1959e-01  1.7417e-04
 2.1972e-01  1.7559e-04
 2.1985e-01  1.8818e-04
 2.1998e-01  2.1316e-04
 2.2011e-01  2.3628e-04
 2.2024e-01  2.5237e-04
 2.2037e-01  2.5350e-04
 2.2050e-01  2.6744e-04
 2.2064e-01  2.4984e-04
 2.2078e-01  2.5117e-04
 2.2091e-01  2.3473e-04
 2.2105e-01  2.1402e-04
 2.2119e-01  1.9227e-04
 2.2133e-01  1.6727e-04
 2.2147e-01  1.6062e-04
 2.2162e-01  1.5047e-04
 2.2176e-01  1.5601e-04
 2.2190e-01  1.5986e-04
 2.2205e-01  1.7585e-04
 2.2219e-01  1.9070e-04
 2.2234e-01  2.1612e-04
 2.2249e-01  2.1469e-04
 2.2264e-01  2.2243e-04
 2.2279e-01  2.0358e-04
 2.2294e-01  2.0120e-04
 2.2309e-01  1.8214e-04
 2.2324e-01  1.8120e-04
 2.2340e-01  1.7170e-04
 2.2355e-01  1.7864e-04
 2.2371e-01  1.8886e-04
 2.2386e-01  2.1686e-04
 2.2402e-01  2.2771e-04
 2.2418e-01  2.4587e-04
 2.2434e-01  2.2574e-04
 2.2449e-01  2.2547e-04
 2.2465e-01  2.0380e-04
 2.2481e-01  2.0700e-04
 2.2498e-01  1.9946e-04
 2.2514e-01  2.1202e-04
 2.2530e-01  2.0174e-04
 2.2547e-01  2.0709e-04
 2.2563e-01  1.8965e-04
 2.2580e-01  1.9382e-04
 2.2596e-01  1.9213e-04
 2.2613e-01  2.2362e-04
 2.2630e-01  2.5650e-04
 2.2647e-01  3.0125e-04
 2.2664e-01  3.0654e-04
 2.2681e-01  3.1457e-04
 2.2698e-01  2.7220e-04
 2.2715e-01  2.5508e-04
 2.2732e-01  2.0886e-04
 2.2750e-01  2.0180e-04
 2.2767e-01  1.8031e-04
 2.2785e-01  1.9164e-04
 2.2802e-01  2.0242e-04
 2.2820e-01  2.1928e-04
 2.2837e-01  2.1807e-04
 2.2855e-01  2.3264e-04
 2.2873e-01  2.2049e-04
 2.2891e-01  2.3585e-04
 2.2909e-01  2.3541e-04
 2.2927e-01  2.5594e-04
 2.2945e-01  2.5454e-04
 2.2963e-01  2.3636e-04
 2.2981e-01  2.1254e-04
 2.3000e-01  1.9478e-04
 2.3018e-01  1.9114e-04
 2.3036e-01  1.9552e-04
 2.3055e-01  2.1006e-04
 2.3073e-01  2.2968e-04
 2.3092e-01  2.4253e-04
 2.3111e-01  2.5476e-04
 2.3129e-01  2.5161e-04
 2.3148e-01  2.7312e-04
 2.3167e-01  2.4626e-04
 2.3186e-01  2.5445e-04
 2.3205e-01  2.4326e-04
 2.3224e-01  2.4028e-04
 2.3243e-01  2.3443e-04
 2.3263e-01  2.1233e-04
 2.3282e-01  2.2411e-04
 2.3301e-01  2.1020e-04
 2.3321e-01  2.2736e-04
 2.3341e-01  2.3404e-04
 2.3360e-01  2.4415e-04
 2.3380e-01  2.4690e-04
